Wartosc_k,Nazwa_pliku,Pamiec_Skompresowana,Pamiec_Oryginalna,Oszczednosc_Procent
1,1.png,3759,1175628,99.68
3,3.png,11277,1175628,99.04
5,5.png,18795,1175628,98.4
10,10.png,37590,1175628,96.8
50,50.png,187950,1175628,84.01
100,100.png,375900,1175628,68.03
