Wartosc_k,Nazwa_pliku,Pamiec_Skompresowana,Pamiec_Oryginalna,Oszczednosc_Procent
10,10.png,180030,24883200,99.28
50,50.png,900150,24883200,96.38
200,200.png,3600600,24883200,85.53
500,500.png,9001500,24883200,63.82
1000,1000.png,18003000,24883200,27.65
