Poziom SVD / Typ,Rozpoznane jako twarz,Laczna liczba zdjec,Skutecznosc (%),Sredni blad MSE
3,0,48,0.00%,0.0184
7,0,48,0.00%,0.0236
10,0,48,0.00%,0.0246
15,0,48,0.00%,0.0255
20,0,48,0.00%,0.0259
25,0,48,0.00%,0.0261
30,0,48,0.00%,0.0262
50,0,48,0.00%,0.0265
original,0,48,0.00%,0.0268
