Poziom SVD / Typ,Rozpoznane jako twarz,Laczna liczba zdjec,Skutecznosc (%),Sredni blad MSE
3,48,48,100.00%,0.0068
7,48,48,100.00%,0.0099
10,48,48,100.00%,0.0109
15,48,48,100.00%,0.0117
20,48,48,100.00%,0.0120
25,48,48,100.00%,0.0122
30,48,48,100.00%,0.0124
50,48,48,100.00%,0.0127
original,48,48,100.00%,0.0129
