Wartosc_k,Nazwa_pliku,Pamiec_Skompresowana,Pamiec_Oryginalna,Oszczednosc_Procent
10,10.png,250080,50020002,99.5
50,50.png,1250400,50020002,97.5
100,100.png,2500800,50020002,95.0
150,150.png,3751200,50020002,92.5
200,200.png,5001600,50020002,90.0
250,250.png,6252000,50020002,87.5
